,file_path,year,pond,date,Lcapito
26,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150216_225600.wav,2015,8a,2015-02-16 22:56:00,0.0
27,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_223200.wav,2015,8a,2015-04-09 22:32:00,0.0
29,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_205700.wav,2015,8a,2015-02-18 20:57:00,0.0
30,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_215700.wav,2015,8a,2015-02-18 21:57:00,0.0
31,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150416_223700.wav,2015,8a,2015-04-16 22:37:00,0.0
33,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150216_205600.wav,2015,8a,2015-02-16 20:56:00,0.0
36,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150216_215600.wav,2015,8a,2015-02-16 21:56:00,0.0
37,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150504_204900.wav,2015,8a,2015-05-04 20:49:00,0.0
38,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150312_231400.wav,2015,8a,2015-03-12 23:14:00,0.0
39,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150306_000900.wav,2015,8a,2015-03-06 00:09:00,0.0
40,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150216_185600.wav,2015,8a,2015-02-16 18:56:00,0.0
41,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150217_005600.wav,2015,8a,2015-02-17 00:56:00,0.0
42,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150410_233300.wav,2015,8a,2015-04-10 23:33:00,0.0
46,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150305_230900.wav,2015,8a,2015-03-05 23:09:00,0.0
47,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150225_190300.wav,2015,8a,2015-02-25 19:03:00,0.0
48,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150411_003300.wav,2015,8a,2015-04-11 00:33:00,0.0
51,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150411_223400.wav,2015,8a,2015-04-11 22:34:00,0.0
52,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150305_210900.wav,2015,8a,2015-03-05 21:09:00,0.0
53,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150403_202800.wav,2015,8a,2015-04-03 20:28:00,0.0
55,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150227_000400.wav,2015,8a,2015-02-27 00:04:00,0.0
57,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_193200.wav,2015,8a,2015-04-09 19:32:00,0.0
59,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150314_201500.wav,2015,8a,2015-03-14 20:15:00,0.0
60,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150411_213400.wav,2015,8a,2015-04-11 21:34:00,0.0
61,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150307_221000.wav,2015,8a,2015-03-07 22:10:00,0.0
63,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_184500.wav,2015,8a,2015-02-03 18:45:00,0.0
64,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150226_190400.wav,2015,8a,2015-02-26 19:04:00,0.0
65,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_231600.wav,2015,8a,2015-03-15 23:16:00,0.0
66,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150419_193900.wav,2015,8a,2015-04-19 19:39:00,0.0
68,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_224400.wav,2015,8a,2015-02-02 22:44:00,0.0
69,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_213700.wav,2015,8a,2015-04-17 21:37:00,0.0
70,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150405_203000.wav,2015,8a,2015-04-05 20:30:00,0.0
73,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_214600.wav,2015,8a,2015-04-30 21:46:00,0.0
74,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150504_214900.wav,2015,8a,2015-05-04 21:49:00,0.0
75,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150204_224600.wav,2015,8a,2015-02-04 22:46:00,0.0
76,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150224_000100.wav,2015,8a,2015-02-24 00:01:00,0.0
77,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150224_210200.wav,2015,8a,2015-02-24 21:02:00,0.0
79,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150225_000200.wav,2015,8a,2015-02-25 00:02:00,0.0
82,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_213200.wav,2015,8a,2015-04-09 21:32:00,0.0
83,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150312_211400.wav,2015,8a,2015-03-12 21:14:00,0.0
84,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150504_224900.wav,2015,8a,2015-05-04 22:49:00,0.0
86,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150205_214700.wav,2015,8a,2015-02-05 21:47:00,0.0
87,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150305_220900.wav,2015,8a,2015-03-05 22:09:00,0.0
89,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150503_004800.wav,2015,8a,2015-05-03 00:48:00,0.0
91,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150307_211000.wav,2015,8a,2015-03-07 21:10:00,0.0
92,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150307_201000.wav,2015,8a,2015-03-07 20:10:00,0.0
93,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150305_200900.wav,2015,8a,2015-03-05 20:09:00,0.0
94,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150225_200300.wav,2015,8a,2015-02-25 20:03:00,0.0
95,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150205_194700.wav,2015,8a,2015-02-05 19:47:00,0.0
96,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150321_192000.wav,2015,8a,2015-03-21 19:20:00,0.0
97,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150226_230400.wav,2015,8a,2015-02-26 23:04:00,0.0
98,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150223_220100.wav,2015,8a,2015-02-23 22:01:00,0.0
99,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150224_220200.wav,2015,8a,2015-02-24 22:02:00,0.0
100,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150416_213700.wav,2015,8a,2015-04-16 21:37:00,0.0
101,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_233200.wav,2015,8a,2015-04-09 23:32:00,0.0
102,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150411_203400.wav,2015,8a,2015-04-11 20:34:00,0.0
103,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150226_000300.wav,2015,8a,2015-02-26 00:03:00,0.0
104,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150405_193000.wav,2015,8a,2015-04-05 19:30:00,0.0
107,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150205_234700.wav,2015,8a,2015-02-05 23:47:00,0.0
108,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150402_202800.wav,2015,8a,2015-04-02 20:28:00,0.0
109,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150403_212800.wav,2015,8a,2015-04-03 21:28:00,0.0
110,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150223_230100.wav,2015,8a,2015-02-23 23:01:00,0.0
111,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150226_210400.wav,2015,8a,2015-02-26 21:04:00,0.0
113,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150322_202000.wav,2015,8a,2015-03-22 20:20:00,0.0
115,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150313_221400.wav,2015,8a,2015-03-13 22:14:00,0.0
117,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150224_230200.wav,2015,8a,2015-02-24 23:02:00,0.0
118,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150412_193400.wav,2015,8a,2015-04-12 19:34:00,0.0
119,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150313_191400.wav,2015,8a,2015-03-13 19:14:00,0.0
120,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150204_214600.wav,2015,8a,2015-02-04 21:46:00,0.0
121,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150224_200200.wav,2015,8a,2015-02-24 20:02:00,0.0
122,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_195700.wav,2015,8a,2015-02-18 19:57:00,0.0
123,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150226_200400.wav,2015,8a,2015-02-26 20:04:00,0.0
125,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150223_210100.wav,2015,8a,2015-02-23 21:01:00,0.0
126,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_234800.wav,2015,8a,2015-05-02 23:48:00,0.0
127,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150217_205700.wav,2015,8a,2015-02-17 20:57:00,0.0
128,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_221600.wav,2015,8a,2015-03-15 22:16:00,0.0
129,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150307_231000.wav,2015,8a,2015-03-07 23:10:00,0.0
130,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150403_002800.wav,2015,8a,2015-04-03 00:28:00,0.0
131,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150205_204700.wav,2015,8a,2015-02-05 20:47:00,0.0
133,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150306_231000.wav,2015,8a,2015-03-06 23:10:00,0.0
134,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150403_192800.wav,2015,8a,2015-04-03 19:28:00,0.0
136,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150413_003400.wav,2015,8a,2015-04-13 00:34:00,0.0
137,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150206_004700.wav,2015,8a,2015-02-06 00:47:00,0.0
139,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150418_193800.wav,2015,8a,2015-04-18 19:38:00,0.0
140,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150225_220300.wav,2015,8a,2015-02-25 22:03:00,0.0
142,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150416_193700.wav,2015,8a,2015-04-16 19:37:00,0.0
143,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150405_213000.wav,2015,8a,2015-04-05 21:30:00,0.0
144,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150204_194600.wav,2015,8a,2015-02-04 19:46:00,0.0
145,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150204_234600.wav,2015,8a,2015-02-04 23:46:00,0.0
149,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_223700.wav,2015,8a,2015-04-17 22:37:00,0.0
150,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150411_193400.wav,2015,8a,2015-04-11 19:34:00,0.0
152,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150217_215700.wav,2015,8a,2015-02-17 21:57:00,0.0
153,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150403_222800.wav,2015,8a,2015-04-03 22:28:00,0.0
154,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150314_221500.wav,2015,8a,2015-03-14 22:15:00,0.0
155,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150504_234900.wav,2015,8a,2015-05-04 23:49:00,0.0
156,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150308_211100.wav,2015,8a,2015-03-08 21:11:00,0.0
157,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150307_001000.wav,2015,8a,2015-03-07 00:10:00,0.0
158,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150412_223400.wav,2015,8a,2015-04-12 22:34:00,0.0
160,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150306_221000.wav,2015,8a,2015-03-06 22:10:00,0.0
161,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150225_230300.wav,2015,8a,2015-02-25 23:03:00,0.0
163,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150307_191000.wav,2015,8a,2015-03-07 19:10:00,0.0
164,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150204_204600.wav,2015,8a,2015-02-04 20:46:00,0.0
166,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150205_004600.wav,2015,8a,2015-02-05 00:46:00,0.0
167,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150205_224700.wav,2015,8a,2015-02-05 22:47:00,0.0
168,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150205_184700.wav,2015,8a,2015-02-05 18:47:00,0.0
169,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_233700.wav,2015,8a,2015-04-17 23:37:00,0.0
170,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150321_001900.wav,2015,8a,2015-03-21 00:19:00,0.0
171,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150412_203400.wav,2015,8a,2015-04-12 20:34:00,0.0
172,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150416_203700.wav,2015,8a,2015-04-16 20:37:00,0.0
173,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150308_221100.wav,2015,8a,2015-03-08 22:11:00,0.0
174,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150412_233400.wav,2015,8a,2015-04-12 23:34:00,0.0
175,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150406_003000.wav,2015,8a,2015-04-06 00:30:00,0.0
176,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150306_191000.wav,2015,8a,2015-03-06 19:10:00,0.0
177,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150321_202000.wav,2015,8a,2015-03-21 20:20:00,0.0
178,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150308_001000.wav,2015,8a,2015-03-08 00:10:00,0.0
179,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150223_190100.wav,2015,8a,2015-02-23 19:01:00,0.0
181,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150420_003900.wav,2015,8a,2015-04-20 00:39:00,0.0
182,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150419_233900.wav,2015,8a,2015-04-19 23:39:00,0.0
185,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150308_231100.wav,2015,8a,2015-03-08 23:11:00,0.0
186,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_191600.wav,2015,8a,2015-03-15 19:16:00,0.0
187,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150320_201900.wav,2015,8a,2015-03-20 20:19:00,0.0
188,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150412_213400.wav,2015,8a,2015-04-12 21:34:00,0.0
189,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150418_003700.wav,2015,8a,2015-04-18 00:37:00,0.0
190,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150217_225700.wav,2015,8a,2015-02-17 22:57:00,0.0
191,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150224_190200.wav,2015,8a,2015-02-24 19:02:00,0.0
192,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150306_211000.wav,2015,8a,2015-03-06 21:10:00,0.0
193,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150404_222900.wav,2015,8a,2015-04-04 22:29:00,0.0
194,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150204_184600.wav,2015,8a,2015-02-04 18:46:00,0.0
195,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150404_192900.wav,2015,8a,2015-04-04 19:29:00,0.0
196,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150404_232900.wav,2015,8a,2015-04-04 23:29:00,0.0
197,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150312_221400.wav,2015,8a,2015-03-12 22:14:00,0.0
198,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150223_200100.wav,2015,8a,2015-02-23 20:01:00,0.0
201,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150416_233700.wav,2015,8a,2015-04-16 23:37:00,0.0
205,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150411_233400.wav,2015,8a,2015-04-11 23:34:00,0.0
206,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150410_193300.wav,2015,8a,2015-04-10 19:33:00,0.0
207,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150505_004900.wav,2015,8a,2015-05-05 00:49:00,0.0
208,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150321_212000.wav,2015,8a,2015-03-21 21:20:00,0.0
211,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_234400.wav,2015,8a,2015-02-02 23:44:00,0.0
212,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_185700.wav,2015,8a,2015-02-18 18:57:00,0.0
215,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150204_004500.wav,2015,8a,2015-02-04 00:45:00,0.0
216,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150320_191900.wav,2015,8a,2015-03-20 19:19:00,0.0
217,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150403_232800.wav,2015,8a,2015-04-03 23:28:00,0.0
218,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150404_002800.wav,2015,8a,2015-04-04 00:28:00,0.0
219,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150322_002000.wav,2015,8a,2015-03-22 00:20:00,0.0
220,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150402_222800.wav,2015,8a,2015-04-02 22:28:00,0.0
221,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_193700.wav,2015,8a,2015-04-17 19:37:00,0.0
222,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150322_192000.wav,2015,8a,2015-03-22 19:20:00,0.0
223,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150402_212800.wav,2015,8a,2015-04-02 21:28:00,0.0
224,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150410_203300.wav,2015,8a,2015-04-10 20:33:00,0.0
225,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150405_233000.wav,2015,8a,2015-04-05 23:30:00,0.0
226,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_005700.wav,2015,8a,2015-02-18 00:57:00,0.0
227,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_211600.wav,2015,8a,2015-03-15 21:16:00,0.0
229,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150308_201100.wav,2015,8a,2015-03-08 20:11:00,0.0
230,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150226_220400.wav,2015,8a,2015-02-26 22:04:00,0.0
231,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150306_201000.wav,2015,8a,2015-03-06 20:10:00,0.0
233,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_201600.wav,2015,8a,2015-03-15 20:16:00,0.0
